pVal,phase,peak.shape,period,names
0.02924529977167315,20,12,24,AC079753.2_ctrl
0.01595426615292091,24,4,24,AC079848.1_ctrl
5.506063097029802e-4,20,20,24,AC079921.2_ctrl
0.04386695384068922,24,4,24,AC079949.2_ctrl
0.009182679645436046,20,16,24,AC080038.2_ctrl
1.1905697403938313e-4,20,16,24,AC080112.2_ctrl
0.004409561044993335,24,8,24,AC083798.2_ctrl
0.004621323804206611,20,12,24,AC083809.1_ctrl
6.892638675008065e-5,20,8,24,AC083855.2_ctrl
0.005936362979537812,24,12,24,AC083862.2_ctrl
0.014512249327091494,20,8,24,AC083880.1_ctrl
0.0011903089595825137,20,8,24,AC083973.1_ctrl
0.01236228646381868,20,8,24,AC087632.2_ctrl
0.04449195647686913,20,20,24,AC087741.1_ctrl
2.2856887037806848e-4,20,16,24,AC087741.3_ctrl
0.008779085457633423,24,4,24,AC087752.3_ctrl
7.366837490048437e-4,20,8,24,AC090114.2_ctrl
0.033390851475264535,20,12,24,AC090204.1_ctrl
0.016104483816497393,12,12,24,AC090241.3_ctrl
0.023307546142955084,20,8,24,AC090360.1_ctrl
2.974212999613458e-4,20,8,24,AC090409.1_ctrl
0.006901921635641741,16,16,24,AC090409.2_ctrl
0.04104365990343057,20,16,24,AC090515.3_ctrl
6.592958732616409e-5,20,8,24,AC090517.5_ctrl
0.01768158672913834,20,16,24,AC090772.3_ctrl
3.4028796974348315e-4,20,12,24,AC090912.2_ctrl
0.002686138892614314,20,8,24,AC090970.2_ctrl
0.002499660830522558,4,8,24,AC091053.1_ctrl
4.067909616467544e-4,16,16,24,AC091057.1_ctrl
7.687134772224456e-4,20,8,24,AC091057.3_ctrl
0.03381764316502193,4,20,24,AC091060.1_ctrl
0.006150840263826258,16,16,24,AC091132.4_ctrl
5.506063097029802e-4,24,4,24,AC091152.4_ctrl
0.005708041326478665,24,12,24,AC091153.3_ctrl
6.2932787902247555e-05,12,16,24,AC091182.2_ctrl
1.65334150217718e-5,20,8,24,AC091230.1_ctrl
5.8676607618562055e-6,24,4,24,AC091271.1_ctrl
2.3895836448616252e-4,20,8,24,AC091729.3_ctrl
1.3039573347170533e-4,20,16,24,AC091982.3_ctrl
8.327729336576494e-4,20,8,24,AC092070.2_ctrl
7.366837490048437e-4,20,16,24,AC092117.1_ctrl
0.014954163543890437,20,12,24,AC092119.2_ctrl
4.408677099158147e-5,24,8,24,AC092164.1_ctrl
0.002733706783922781,24,12,24,AC092171.5_ctrl
0.02274669940559572,16,8,24,AC092279.2_ctrl
0.033390851475264535,20,12,24,AC092279.3_ctrl
0.0020333154520263417,20,16,24,AC092295.2_ctrl
7.046540207872418e-4,20,16,24,AC092368.3_ctrl
0.0013908205865959073,24,12,24,AC092437.1_ctrl
0.0023211136283423756,20,8,24,AC092445.1_ctrl
4.0037160272002374e-4,20,4,24,AC092614.1_ctrl
0.0017504660067867905,20,4,24,AC092718.4_ctrl
0.009242647608413222,20,12,24,AC092747.4_ctrl
0.02193347692034461,20,16,24,AC092803.1_ctrl
0.00345826197669666,20,16,24,AC092803.3_ctrl
0.012396582729817772,4,20,24,AC092807.4_ctrl
0.001599893560869973,20,8,24,AC092821.2_ctrl
0.03602001411484659,4,16,24,AC092903.2_ctrl
1.802700538350041e-4,20,12,24,AC092910.3_ctrl
0.005708041326478665,20,12,24,AC092943.2_ctrl
3.671608455104045e-5,20,8,24,AC093157.1_ctrl
3.8209153440642414e-5,24,4,24,AC093323.1_ctrl
0.0020532928250721013,20,8,24,AC093525.6_ctrl
2.1128322001899093e-8,20,8,24,AC093627.5_ctrl
0.0034780294801521152,24,12,24,AC093635.1_ctrl
3.4028796974348315e-4,20,12,24,AC093673.1_ctrl
0.005251398020360371,20,12,24,AC093677.2_ctrl
0.018485295216826444,20,8,24,AC093752.1_ctrl
0.0017376351765253527,20,12,24,AC093827.4_ctrl
